,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,Tuktoyaktuk,69.4541,-133.0374,32.79,96,100,6.26,CA,1650927716
38,Ancud,-41.8697,-73.8203,50.23,90,100,19.71,CL,1650927716
39,George Town,5.4112,100.3354,79.95,93,20,2.3,MY,1650927566
40,Iqaluit,63.7506,-68.5145,0.7,70,87,21.0,CA,1650927733
41,Hithadhoo,-0.6,73.0833,84.09,71,88,6.51,MV,1650927831
42,Mataura,-46.1927,168.8643,51.48,71,72,8.08,NZ,1650927731
43,Albany,42.6001,-73.9662,63.34,38,100,5.01,US,1650927570
44,Tual,-5.6667,132.75,82.04,75,100,2.51,ID,1650928000
45,Chui,-33.6971,-53.4616,66.27,98,100,5.48,UY,1650927915
46,Hong Kong,22.2855,114.1577,81.32,86,9,8.01,HK,1650927725
47,Maniitsoq,65.4167,-52.9,28.96,85,100,8.77,GL,1650928000
48,Castro,-24.7911,-50.0119,61.27,84,1,2.26,BR,1650927681
49,Bredasdorp,-34.5322,20.0403,53.76,78,0,3.11,ZA,1650927712
50,Hilo,19.7297,-155.09,84.27,72,75,11.5,US,1650927739
51,Half Moon Bay,37.4636,-122.4286,77.88,66,40,25.32,US,1650927943
52,Rikitea,-23.1203,-134.9692,76.98,75,84,19.26,PF,1650927708
53,St. Marys,30.7305,-81.5465,79.12,71,0,10.36,US,1650927782
54,Muncar,-8.4333,114.3333,78.78,84,88,3.04,ID,1650928001
55,Shibganj,24.6829,88.1598,79.81,76,0,8.72,BD,1650928001
56,Puerto Ayora,-0.7393,-90.3518,73.85,81,89,9.13,EC,1650927727
57,Mahébourg,-20.4081,57.7,73.26,74,22,15.64,MU,1650927715
58,Cap Malheureux,-19.9842,57.6142,73.47,80,16,1.99,MU,1650927882
59,Pran Buri,12.3847,99.9098,79.32,81,32,5.14,TH,1650928002
60,Narsaq,60.9167,-46.05,41.22,90,96,2.01,GL,1650927932
61,Bubaque,11.2833,-15.8333,77.74,77,4,15.73,GW,1650927827
62,Lodwar,3.1191,35.5973,76.87,71,97,11.3,KE,1650928002
63,Rūjiena,57.8975,25.3316,40.05,90,52,4.94,LV,1650928003
64,Esil,51.9556,66.4042,46.85,40,38,9.62,KZ,1650928003
65,Comodoro Rivadavia,-45.8667,-67.5,57.49,46,73,16.17,AR,1650927780
66,Dubai,25.2582,55.3047,85.93,42,0,3.44,AE,1650927902
67,Tautira,-17.7333,-149.15,81.1,74,10,12.33,PF,1650927793
68,Tarakan,3.3,117.6333,76.5,94,40,6.91,ID,1650927861
69,Bluff,-46.6,168.3333,51.8,71,96,24.0,NZ,1650927708
70,Los Llanos de Aridane,28.6585,-17.9182,62.35,84,0,5.99,ES,1650927825
71,Barrow,71.2906,-156.7887,15.82,73,75,10.36,US,1650927723
72,Petatlán,17.5167,-101.2667,85.8,42,58,6.58,MX,1650928004
73,Mar del Plata,-38.0023,-57.5575,59.88,76,0,3.29,AR,1650927737
74,College,64.8569,-147.8028,42.82,84,100,1.54,US,1650927655
75,Upernavik,72.7868,-56.1549,13.19,90,26,4.07,GL,1650927814
76,Fortuna,40.5982,-124.1573,60.93,79,75,12.66,US,1650927901
77,Ponta Delgada,37.7333,-25.6667,60.49,82,40,4.61,PT,1650927634
78,Kapaa,22.0752,-159.319,73.47,89,100,17.27,US,1650927714
79,Chokurdakh,70.6333,147.9167,10.08,91,78,4.16,RU,1650927722
80,Vao,-22.6667,167.4833,74.73,54,100,20.02,NC,1650928005
81,Kavieng,-2.5744,150.7967,83.3,73,72,11.03,PG,1650927882
82,South Valley,35.0101,-106.6781,71.82,14,0,1.28,US,1650928006
83,Caravelas,-17.7125,-39.2481,76.48,82,1,4.23,BR,1650927784
84,New Norfolk,-42.7826,147.0587,50.72,89,83,2.06,AU,1650927716
85,Phalombe,-15.8064,35.6507,63.97,91,11,2.24,MW,1650928006
86,São Filipe,14.8961,-24.4956,75.47,65,5,9.78,CV,1650927838
87,Antofagasta,-23.65,-70.4,63.68,87,92,5.97,CL,1650928006
88,Kuril'sk,45.2333,147.8833,42.35,53,64,2.77,RU,1650928007
89,Inhambane,-23.865,35.3833,75.13,87,72,8.25,MZ,1650927763
90,Kyshtovka,56.555,76.6271,41.14,56,100,8.08,RU,1650928007
91,Mossamedes,-15.1961,12.1522,71.92,73,3,4.59,AO,1650927849
92,Kavaratti,10.5669,72.642,84.15,77,24,6.44,IN,1650927842
93,Kalmunai,7.4167,81.8167,79.57,81,74,4.27,LK,1650927969
94,São João da Barra,-21.6403,-41.0511,74.46,80,2,4.92,BR,1650927950
95,Paamiut,61.994,-49.6678,28.6,91,100,6.06,GL,1650928008
96,Kathu,7.9178,98.3332,88.7,72,52,3.83,TH,1650927839
97,Chabahar,25.2919,60.643,81.91,70,0,7.67,IR,1650927970
98,Wanaka,-44.7,169.15,50.11,79,2,1.25,NZ,1650928008
99,Necochea,-38.5473,-58.7368,54.45,60,1,3.49,AR,1650927797
100,Cherskiy,68.75,161.3,28.89,68,100,3.36,RU,1650927794
101,Nome,64.5011,-165.4064,38.16,77,100,3.53,US,1650927841
102,Yeppoon,-23.1333,150.7333,67.78,81,100,19.98,AU,1650928009
103,Philadelphia,39.9523,-75.1638,60.06,58,100,11.5,US,1650927768
104,Moree,-29.4667,149.85,64.42,63,100,12.66,AU,1650928009
105,Nabire,-3.3667,135.4833,79.63,87,49,2.73,ID,1650928010
106,Qaanaaq,77.484,-69.3632,9.1,68,51,6.42,GL,1650927788
107,Lebu,-37.6167,-73.65,54.59,79,99,24.32,CL,1650927787
108,Bilibino,68.0546,166.4372,26.04,70,100,3.91,RU,1650928010
109,Santa Marta,11.2408,-74.199,81.9,77,100,1.99,CO,1650927717
110,Vaini,-21.2,-175.2,71.01,89,100,5.57,TO,1650927715
111,Marawi,7.9986,124.2928,73.17,88,100,1.39,PH,1650928011
112,Kloulklubed,7.0419,134.2556,75.7,77,98,19.08,PW,1650927845
113,Temyasovo,52.9933,58.1014,43.74,90,99,5.55,RU,1650928011
114,Lábrea,-7.2586,-64.7981,75.96,94,72,2.89,BR,1650928011
115,Provideniya,64.3833,-173.3,26.71,80,75,20.13,RU,1650927813
116,Teeli,51.0333,90.2333,33.26,41,100,0.4,RU,1650928012
117,Chāndbāli,20.7833,86.7667,79.36,93,0,7.11,IN,1650928012
118,Zeya,53.75,127.2667,37.04,41,100,8.63,RU,1650928012
119,Kankan,10.3854,-9.3057,86.58,14,13,3.2,GN,1650928013
120,Saint-Philippe,-21.3585,55.7679,71.22,77,76,11.41,RE,1650927714
121,Kemijärvi,66.7131,27.4306,32.4,83,100,13.02,FI,1650928013
122,Longyearbyen,78.2186,15.6401,-11.69,94,53,4.63,SJ,1650927810
123,Mayo,38.8876,-76.5119,68.11,76,0,14.0,US,1650928014
124,Broome,42.2506,-75.833,67.68,57,0,16.11,US,1650927980
125,Ribeira Grande,38.5167,-28.7,59.05,68,89,9.37,PT,1650927518
126,Kīhei,20.785,-156.4656,82.42,66,40,23.02,US,1650927876
127,Preobrazheniye,42.9019,133.9064,53.67,75,98,4.34,RU,1650928014
128,San Policarpo,12.1791,125.5072,82.42,84,100,14.29,PH,1650927950
129,Anadyr,64.75,177.4833,28.9,68,0,22.37,RU,1650927963
130,Kirakira,-10.4544,161.9205,84.61,72,76,5.28,SB,1650927736
131,Mehamn,71.0357,27.8492,24.01,72,90,27.67,NO,1650927793
132,Pangody,65.85,74.4859,8.49,97,90,7.56,RU,1650928015
133,Katsuura,35.1333,140.3,68.02,90,100,9.42,JP,1650927790
134,Carnarvon,-24.8667,113.6333,73.36,77,5,12.86,AU,1650927723
135,Chimbote,-9.0853,-78.5783,67.37,83,100,6.42,PE,1650927730
136,Bathsheba,13.2167,-59.5167,77.34,88,100,14.76,BB,1650927793
137,Port Hardy,50.6996,-127.4199,45.57,81,94,8.93,CA,1650927791
138,Qingdao,36.0986,120.3719,56.55,90,19,0.54,CN,1650928016
139,Uarini,-2.99,-65.1083,78.08,88,84,2.57,BR,1650928016
140,Mount Gambier,-37.8333,140.7667,61.38,59,69,7.43,AU,1650927863
141,Maningrida,-12.0667,134.2667,81.32,73,57,3.22,AU,1650928016
142,Burns Lake,54.2331,-125.7533,46.47,48,98,5.77,CA,1650928017
143,Edremit,39.5961,27.0244,55.15,76,0,3.44,TR,1650928017
144,Atuona,-9.8,-139.0333,78.49,79,21,16.15,PF,1650927726
145,Severo-Kuril'sk,50.6789,156.125,32.67,93,99,21.79,RU,1650927711
146,Hamilton,39.1834,-84.5333,62.24,82,100,11.5,US,1650927915
147,Tasiilaq,65.6145,-37.6368,32.16,97,100,7.43,GL,1650927888
148,Nizhniye Vyazovyye,55.7988,48.5248,47.8,87,92,7.31,RU,1650928018
149,Asău,46.4333,26.4,48.96,91,4,6.55,RO,1650927862
150,Grindavik,63.8424,-22.4338,43.9,87,100,3.44,IS,1650927795
151,Yellowknife,62.456,-114.3525,40.46,78,100,13.67,CA,1650927733
152,Gorontalo,0.5412,123.0595,77.94,91,88,1.23,ID,1650928018
153,Leningradskiy,69.3833,178.4167,17.47,91,63,11.16,RU,1650928019
154,Matata,-37.8833,176.75,65.71,57,5,1.16,NZ,1650928019
155,Lüderitz,-26.6481,15.1594,60.26,47,0,12.88,NA,1650927733
156,Siparia,10.1333,-61.5,76.82,92,100,9.46,TT,1650928019
157,Torbay,47.6666,-52.7314,37.89,95,100,15.99,CA,1650927730
158,Djougou,9.7085,1.666,83.17,49,11,5.77,BJ,1650928020
159,Taltal,-25.4,-70.4833,63.27,86,42,3.87,CL,1650928020
160,Talara,-4.5772,-81.2719,75.96,69,0,11.5,PE,1650928020
161,Ahipara,-35.1667,173.1667,67.75,59,25,6.91,NZ,1650927729
162,Sol'vychegodsk,61.3305,46.9156,44.02,94,100,8.16,RU,1650928021
163,Flin Flon,54.7682,-101.865,31.96,51,0,6.89,CA,1650928021
164,Isangel,-19.55,169.2667,78.44,66,97,17.36,VU,1650927828
165,Setermoen,68.861,18.3486,26.56,95,100,6.02,NO,1650928021
166,Enumclaw,47.2043,-121.9915,56.82,74,100,1.99,US,1650928020
167,Touros,-5.1989,-35.4608,77.83,86,37,10.71,BR,1650927948
168,Villa María,-32.4075,-63.2402,62.82,59,5,5.23,AR,1650928022
169,Cockburn Town,21.4612,-71.1419,77.52,69,93,15.26,TC,1650927939
170,Kochubey,44.3861,46.5825,53.51,74,3,8.16,RU,1650928022
171,Opuwo,-18.0607,13.84,66.18,43,2,1.36,NA,1650927883
172,Sola,-13.8833,167.55,80.6,77,65,16.87,VU,1650927825
173,Ossora,59.2353,163.0719,30.31,92,100,9.15,RU,1650928023
174,Lompoc,34.6391,-120.4579,84.02,67,89,20.0,US,1650927719
175,Nuuk,64.1835,-51.7216,30.81,80,75,4.61,GL,1650928023
176,Alice Town,25.7167,-79.3,76.1,72,35,16.82,BS,1650927799
177,Ust-Kuyga,70.0167,135.6,4.14,94,99,0.56,RU,1650928024
178,Kolokani,13.5728,-8.0339,86.31,16,2,11.12,ML,1650928024
179,Lorengau,-2.0226,147.2712,83.23,75,33,7.76,PG,1650927684
180,Arman',59.7,150.1667,35.02,57,100,10.76,RU,1650928025
181,Hualmay,-11.0964,-77.6139,68.43,82,98,9.51,PE,1650927818
182,Esperance,-33.8667,121.9,69.73,42,99,17.27,AU,1650927709
183,Pevek,69.7008,170.3133,23.7,72,100,2.24,RU,1650927720
184,Tamandaré,-8.7597,-35.1047,78.58,80,100,6.73,BR,1650928025
185,Namtsy,62.7161,129.6658,22.66,75,55,8.57,RU,1650928025
186,Novonikolayevskaya,45.5892,38.3689,57.54,70,41,4.27,RU,1650928026
187,Faanui,-16.4833,-151.75,81.64,72,11,10.63,PF,1650927905
188,Aberdeen,57.1437,-2.0981,45.5,89,100,5.75,GB,1650927602
189,Goderich,43.7501,-81.7165,46.9,96,100,11.52,CA,1650927811
190,Baykit,61.67,96.37,25.14,95,100,4.7,RU,1650927866
191,Kharovsk,59.9642,40.1912,42.76,96,100,7.85,RU,1650928027
192,Gushikawa,26.3544,127.8686,78.8,88,100,16.11,JP,1650928027
193,Grand Gaube,-20.0064,57.6608,73.38,80,23,1.99,MU,1650928027
194,Sunbury,-37.5833,144.7333,62.91,77,40,6.91,AU,1650927949
195,Paciran,-6.8767,112.3761,78.6,87,71,4.76,ID,1650928028
196,Ilulissat,69.2167,-51.1,26.62,86,75,5.75,GL,1650927823
197,Bethel,41.3712,-73.414,57.65,39,100,4.0,US,1650927735
198,Andra,62.5147,65.8878,30.72,98,94,1.68,RU,1650928028
199,Okhotsk,59.3833,143.3,28.09,70,25,16.02,RU,1650927714
200,Viedma,-40.8135,-62.9967,57.79,29,100,13.35,AR,1650928029
201,Rome,34.257,-85.1647,83.48,51,0,5.75,US,1650927782
202,Cabedelo,-6.9811,-34.8339,74.07,84,38,11.99,BR,1650928029
203,Karpathos,35.507,27.2132,62.56,67,18,5.75,GR,1650928029
204,Ponta do Sol,32.6667,-17.1,61.43,74,51,9.73,PT,1650927721
205,Belyy Yar,53.6039,91.3903,22.89,80,18,2.24,RU,1650928030
206,Norman Wells,65.282,-126.8329,38.12,86,100,6.78,CA,1650927781
207,Hasaki,35.7333,140.8333,68.29,85,100,11.41,JP,1650927884
208,Cascais,38.6979,-9.4215,61.5,75,96,14.0,PT,1650928030
209,Klaksvík,62.2266,-6.589,36.52,74,100,13.09,FO,1650927813
210,Río Gallegos,-51.6226,-69.2181,40.48,83,74,9.78,AR,1650928031
211,Thompson,55.7435,-97.8558,26.76,31,40,6.91,CA,1650927440
212,Srednekolymsk,67.45,153.6833,13.08,90,100,5.32,RU,1650927945
213,Alofi,-19.0595,-169.9187,80.22,79,97,19.35,NU,1650927843
214,Vieste,41.8825,16.175,58.71,75,1,3.94,IT,1650928031
215,Santa Rosa,14.3122,121.1114,84.18,78,47,9.62,PH,1650927938
216,Kamenka,51.3223,42.7678,54.3,77,98,8.61,RU,1650928032
217,Eyl,7.9803,49.8164,80.64,74,88,7.36,SO,1650927973
218,Seymchan,62.8833,152.4333,20.82,75,100,12.77,RU,1650928032
219,Fairbanks,64.8378,-147.7164,42.57,85,100,1.66,US,1650927604
220,Richards Bay,-28.783,32.0377,66.29,74,94,14.23,ZA,1650928033
221,Haines Junction,60.7522,-137.5108,45.99,62,97,3.11,CA,1650927878
222,Saint George,37.1041,-113.5841,80.64,9,78,5.01,US,1650927594
223,Birao,10.2849,22.7882,84.67,45,100,1.99,CF,1650928033
224,Banting,2.8167,101.5,77.13,93,99,2.44,MY,1650928033
225,Charagua,-19.8,-63.2167,75.38,71,2,12.8,BO,1650928034
226,Buin,-33.7333,-70.75,68.05,74,38,4.56,CL,1650928034
227,Sémbé,1.6481,14.5806,73.71,86,93,1.39,CG,1650928035
228,Pauini,-7.7136,-66.9764,77.16,91,68,0.78,BR,1650928035
229,Pirapemas,-3.7267,-44.2233,74.21,97,75,2.71,BR,1650928035
230,Arrondissement de Privas,44.5833,4.5,52.52,88,25,3.74,FR,1650928035
231,Vila,42.0304,-8.1588,49.08,77,63,3.47,PT,1650927815
232,Emiliano Zapata,18.8333,-99.1833,90.21,22,75,5.75,MX,1650928036
233,Ngunguru,-35.6167,174.5,64.13,67,2,7.87,NZ,1650928036
234,Baharly,38.4362,57.4316,71.06,36,94,8.48,TM,1650928037
235,Ulladulla,-35.35,150.4667,59.77,79,100,2.84,AU,1650928037
236,San Patricio,28.017,-97.5169,80.89,81,97,25.61,US,1650927842
237,Coahuayana Viejo,18.7333,-103.6833,84.0,47,32,6.6,MX,1650928037
238,Taunggyi,20.7833,97.0333,65.59,60,0,2.01,MM,1650928038
239,Honiara,-9.4333,159.95,85.14,70,44,3.42,SB,1650928038
240,Noormarkku,61.5927,21.8685,38.98,81,20,8.05,FI,1650928038
241,Noumea,-22.2763,166.4572,77.0,99,100,12.95,NC,1650928015
242,Chistogorskiy,53.9835,87.3843,29.28,81,29,1.59,RU,1650928039
243,Virginia Beach,36.8529,-75.978,80.65,44,40,18.41,US,1650927880
244,Sinnamary,5.3833,-52.95,78.57,85,100,8.84,GF,1650927680
245,East London,-33.0153,27.9116,61.77,69,21,12.97,ZA,1650927816
246,Brae,60.3964,-1.353,43.48,70,88,14.99,GB,1650927940
247,Dikson,73.5069,80.5464,6.96,98,100,2.13,RU,1650927719
248,Susaki,33.3667,133.2833,66.27,95,100,1.7,JP,1650928040
249,Tateyama,34.9833,139.8667,70.11,91,100,9.13,JP,1650928040
250,Athabasca,54.7169,-113.2854,56.03,49,76,18.19,CA,1650928040
251,Yerbogachën,61.2767,108.0108,27.45,94,97,4.79,RU,1650927724
252,Puerto Maldonado,-12.6,-69.1833,77.4,88,75,1.14,PE,1650928041
253,Chaman,30.9236,66.4512,68.72,18,41,1.32,PK,1650928041
254,Svetlaya,46.5389,138.3297,36.46,81,98,17.94,RU,1650928041
255,Ternovka,51.678,41.6375,54.57,76,98,6.53,RU,1650928042
256,Krasne,49.9145,24.6134,45.07,95,52,9.24,UA,1650928042
257,Birin,26.8865,88.0718,59.59,56,0,5.93,NP,1650928042
258,Bolshaya Rechka,51.9503,104.7355,14.27,77,8,2.28,RU,1650928043
259,Campo Largo,-25.4586,-49.5283,65.53,91,15,2.24,BR,1650928043
260,Umm Bāb,25.2142,50.8072,76.91,59,76,4.97,QA,1650928043
261,Auburn,47.3073,-122.2284,59.88,76,75,9.22,US,1650927817
262,Waingapu,-9.6567,120.2641,76.96,69,100,3.27,ID,1650928044
263,Tebingtinggi,3.3285,99.1625,74.48,97,100,2.51,ID,1650928044
264,Kharp,66.8014,65.8081,21.52,93,90,6.02,RU,1650928045
265,Coyhaique,-45.5752,-72.0662,37.99,100,100,2.66,CL,1650927877
266,Csobánka,47.6464,18.9619,48.96,79,21,5.28,HU,1650928045
267,Clyde River,70.4692,-68.5914,8.83,92,100,19.57,CA,1650927800
268,Novocheremshansk,54.3571,50.1666,51.24,79,80,6.31,RU,1650928046
269,Matagami,49.7502,-77.6328,44.87,94,100,4.74,CA,1650928046
270,Esso,55.9333,158.7,30.25,88,100,3.69,RU,1650928046
271,San Quintín,30.4833,-115.95,72.75,38,1,11.97,MX,1650927731
272,Kumul,42.8,93.45,60.51,26,99,9.93,CN,1650928047
273,St. George's,12.0564,-61.7485,78.53,84,98,13.51,GD,1650927868
274,Eureka,40.8021,-124.1637,63.68,81,97,8.01,US,1650927829
275,Kaeo,-35.1,173.7833,67.32,80,21,5.28,NZ,1650928047
276,Iaciara,-14.0958,-46.6317,75.6,45,9,5.06,BR,1650928047
277,Beyneu,45.3167,55.2,58.17,52,38,12.8,KZ,1650928048
278,Lucea,18.451,-78.1736,75.85,77,86,10.18,JM,1650928048
279,Salto,-31.3833,-57.9667,73.51,91,18,4.23,UY,1650928045
280,Bykovo,55.6361,38.0803,52.41,93,100,0.0,RU,1650928049
281,Arraial do Cabo,-22.9661,-42.0278,74.82,77,1,13.2,BR,1650927778
282,Treinta y Tres,-33.2333,-54.3833,67.73,96,100,7.58,UY,1650928049
283,Nobres,-14.7203,-56.3275,83.41,56,76,2.73,BR,1650928049
284,Santa Barbara,34.7333,-120.0343,81.34,31,0,14.97,US,1650928050
285,Waddān,29.1614,16.139,68.41,37,87,14.41,LY,1650928050
286,Batticaloa,7.7102,81.6924,79.88,80,78,5.64,LK,1650927843
287,Madimba,-10.4,40.3333,76.37,91,79,5.57,TZ,1650928050
288,Igrim,63.1906,64.4162,29.86,100,97,2.73,RU,1650928051
289,Vila Velha,-20.3297,-40.2925,74.95,91,40,7.0,BR,1650927700
290,Damāvand,35.7178,52.065,58.48,55,100,3.62,IR,1650928051
291,Thabazimbi,-24.5917,27.4116,61.47,69,3,3.2,ZA,1650928052
292,Nioro,13.35,-15.75,87.91,26,0,15.23,GM,1650928052
293,Waterfoot,53.6929,-2.2525,48.49,89,27,1.01,GB,1650928052
294,Baijiantan,45.6333,85.1833,52.16,72,99,7.81,CN,1650928052
295,Maragogi,-9.0122,-35.2225,78.42,80,99,6.49,BR,1650927953
296,Poum,-20.2333,164.0167,75.87,63,100,11.12,NC,1650927789
297,La Santisima Trinidad,-14.8333,-64.9,84.18,79,75,0.0,BO,1650928053
298,Korla,41.7597,86.1469,58.93,26,100,19.62,CN,1650927946
299,Nouadhibou,20.931,-17.0347,65.46,87,1,14.85,MR,1650928053
300,Sorong,-0.8833,131.25,78.46,88,100,8.7,ID,1650927817
301,Makkah al Mukarramah,21.4267,39.8261,80.42,62,0,1.21,SA,1650928054
302,Vila Franca do Campo,37.7167,-25.4333,60.19,82,36,6.26,PT,1650927981
303,‘Ewa Beach,21.3156,-158.0072,81.99,58,75,19.57,US,1650928054
304,Waipawa,-41.4122,175.5153,56.66,67,72,3.6,NZ,1650927912
305,Tigil',57.8,158.6667,31.64,96,100,3.15,RU,1650928055
306,Rostusa,41.61,20.6,47.35,81,21,2.1,MK,1650928055
307,Herat Province,34.5,62.0,66.87,26,47,5.97,AF,1650928055
308,Byron Bay,-28.65,153.6167,64.94,69,100,5.53,AU,1650928056
309,Tuatapere,-46.1333,167.6833,51.62,65,33,5.93,NZ,1650927736
310,Chaohu,31.6,117.8667,65.79,89,100,4.88,CN,1650928056
311,Lufilufi,-13.8745,-171.5986,87.58,74,49,15.66,WS,1650928056
312,Aksha,50.2814,113.2867,31.26,39,100,16.89,RU,1650928057
313,Purranque,-40.9167,-73.1667,47.53,95,100,11.48,CL,1650928057
314,Biograd na Moru,43.9433,15.4519,54.75,72,46,5.86,HR,1650928057
315,San Andrés,12.5847,-81.7006,84.22,79,40,8.05,CO,1650927913
316,Krasnoarmiys'k,48.282,37.1758,53.56,68,86,4.94,UA,1650928058
317,Bowen,-20.0167,148.2333,75.54,87,100,20.02,AU,1650928058
318,Loa Janan,-0.583,117.095,73.72,99,100,2.77,ID,1650928058
319,Cidreira,-30.1811,-50.2056,72.48,84,92,12.53,BR,1650927727
320,Port Lincoln,-34.7333,135.8667,64.85,78,100,15.48,AU,1650927621
321,Hirado,33.3597,129.5531,71.38,94,100,28.52,JP,1650928059
322,Souillac,-20.5167,57.5167,75.0,77,15,14.52,MU,1650927907
323,Bambous Virieux,-20.3428,57.7575,73.22,73,31,15.46,MU,1650927728
324,Saint-Michel-des-Saints,46.6834,-73.9159,51.67,96,100,10.54,CA,1650928059
325,Agüimes,27.9054,-15.4461,65.03,60,20,23.02,ES,1650928060
326,Kindu,-2.95,25.95,70.47,95,99,2.3,CD,1650928060
327,Marsh Harbour,26.5412,-77.0636,74.64,66,4,15.17,BS,1650927980
328,La Ronge,55.1001,-105.2842,35.74,56,1,10.63,CA,1650927863
329,Kaitangata,-46.2817,169.8464,53.08,66,58,15.73,NZ,1650927730
330,Buala,-8.145,159.5921,84.25,72,68,4.0,SB,1650928061
331,Sirte,31.2089,16.5887,62.44,79,51,12.12,LY,1650928061
332,Oranjemund,-28.55,16.4333,54.86,76,0,12.24,NA,1650928061
333,Vendôme,47.8,1.0667,50.29,99,70,8.37,FR,1650928062
334,Margate,51.3813,1.3862,49.3,81,71,8.01,GB,1650927959
335,Muswellbrook,-32.2667,150.9,62.33,82,100,1.54,AU,1650928062
336,Palmer,42.1584,-72.3287,60.48,20,40,12.66,US,1650928062
337,Grinnell,41.743,-92.7224,40.98,60,100,16.11,US,1650928063
338,Nhulunbuy,-12.2333,136.7667,83.01,89,43,4.61,AU,1650928063
339,Bairiki Village,1.3292,172.9752,80.24,80,40,10.56,KI,1650928063
340,Oyama,36.3,139.8,70.59,73,100,3.6,JP,1650927885
341,Porto-Novo,6.4965,2.6036,81.14,84,18,6.6,BJ,1650928064
342,Itanhaém,-24.1831,-46.7889,72.59,90,28,5.79,BR,1650927976
343,Natal,-5.795,-35.2094,79.45,83,40,5.75,BR,1650927966
344,Geraldton,-28.7667,114.6,66.61,68,100,8.05,AU,1650927886
345,Saint-Augustin,51.226,-58.6502,35.96,99,99,9.51,CA,1650927953
346,Igarka,67.4667,86.5833,-6.34,100,68,3.71,RU,1650928065
347,Vestmannaeyjar,63.4427,-20.2734,45.5,86,67,13.02,IS,1650928065
348,Port Augusta,-32.5,137.7667,62.92,83,100,7.18,AU,1650928065
349,Luau,-10.7073,22.2247,65.68,92,95,2.59,AO,1650927877
350,Baní,18.2833,-70.3333,80.04,70,27,11.45,DO,1650928066
351,West Bay,19.3667,-81.4167,80.08,91,40,3.44,KY,1650928066
352,Dunedin,-45.8742,170.5036,55.8,53,33,17.0,NZ,1650927733
353,Abu Samrah,35.3029,37.1841,67.17,45,4,2.66,SY,1650927867
354,Nivala,63.9167,24.9667,34.68,96,98,5.41,FI,1650928066
355,Broken Hill,-31.95,141.4333,57.78,93,100,20.29,AU,1650927828
356,Putina,-15.4667,-69.4333,47.05,76,82,7.94,PE,1650928067
357,Mikkeli,61.6886,27.2723,34.14,80,0,2.3,FI,1650928067
